timestamp_ms,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
0,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
2,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
4,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
6,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
8,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
10,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
12,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
14,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
16,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
18,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
20,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
22,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
24,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
26,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
28,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
30,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
32,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
34,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
36,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
38,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
40,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
42,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
44,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
46,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
48,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
50,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
52,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
54,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
56,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
58,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
60,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
62,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
64,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
66,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
68,992,992,172,992,172,172,172,172,992,992,992,992,992,992,992,992
